Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
6,0,0,0,0
12,0,0,0,0
18,11,0,0,1
24,12,0,0,1
30,12,0,0,1
36,12,0,0,1
42,13,0,0,1
48,14,0,0,1
54,14,0,0,1
60,16,0,0,0
66,16,0,0,0
72,19,0,0,0
78,21,0,0,1
84,21,0,0,1
90,21,0,0,0
96,21,0,0,0
102,23,0,0,0
108,23,0,0,0
114,23,0,0,0
120,23,0,0,0
126,22,0,0,0
132,23,0,0,0
138,24,0,0,0
144,24,0,0,0
150,24,0,0,0
156,24,0,0,0
162,25,0,0,0
168,24,0,0,0
174,23,0,0,0
180,23,0,0,1
186,25,0,0,1
192,28,0,0,1
198,31,0,0,0
204,30,0,0,0
210,26,0,0,0
216,30,0,0,0
222,29,0,0,1
228,28,0,0,1
234,28,0,0,0
240,29,0,0,0
246,30,0,0,0
252,27,0,0,0
258,29,0,0,0
264,29,0,0,0
270,28,0,0,0
276,27,0,0,0
282,27,0,0,0
288,29,0,0,1
294,29,0,0,1
300,30,0,0,0
