Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
5,0,0,0,0
10,0,0,0,0
15,2,0,0,0
20,3,0,0,0
25,3,0,0,0
30,4,0,0,0
35,4,0,0,0
40,4,0,0,0
45,4,0,0,0
50,4,0,0,0
55,4,0,0,0
60,3,0,0,0
65,3,0,0,0
70,3,0,0,0
75,3,0,0,0
80,4,0,0,0
85,3,0,0,0
90,0,0,0,0
95,3,0,0,0
100,3,0,0,0
105,3,0,0,0
110,3,0,0,0
115,3,0,0,0
120,3,0,0,0
125,3,0,0,0
130,3,0,0,0
135,3,0,0,0
140,0,0,0,0
145,3,0,0,0
150,3,0,0,0
155,3,0,0,0
160,0,0,0,0
165,0,0,0,0
170,0,0,0,0
175,0,0,0,0
180,0,0,0,0
185,0,0,0,0
190,0,0,0,0
195,0,0,0,0
200,0,0,0,0
205,0,0,0,0
210,2,0,0,0
