Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
4,0,0,0,0
8,0,0,0,0
12,4,0,0,0
16,4,0,0,0
20,4,0,0,0
24,5,0,0,0
28,5,0,0,0
32,5,0,0,0
36,5,0,0,0
40,5,0,0,0
44,5,0,0,0
48,5,0,0,0
52,5,0,0,0
56,5,0,0,0
60,5,0,0,0
64,5,0,0,0
68,5,0,0,0
72,4,0,0,0
76,4,0,0,0
80,4,0,0,0
84,4,0,0,0
88,4,0,0,0
92,5,0,0,0
96,6,0,0,1
100,6,0,0,1
104,5,0,0,0
108,4,0,0,0
112,3,0,0,0
116,3,0,0,0
120,2,0,0,0
124,2,0,0,0
128,2,0,0,0
132,2,0,0,0
136,2,0,0,0
140,1,0,0,0
144,1,0,0,0
148,1,0,0,0
152,1,0,0,0
156,1,0,0,0
160,1,0,0,0
164,1,0,0,0
168,1,0,0,0
172,1,0,0,0
176,1,0,0,0
180,1,0,0,0
184,1,0,0,0
188,1,0,0,0
192,1,0,0,0
